phase,experiment,metrics_path,dataset_version,seed,evaluation_entry_point,numeric_metrics
03_memory,03_memory/01_gru,03_memory/01_gru/outputs/evaluation_metrics.json,fully-observable-gridworld-sequences-v1,7,python 03_memory/01_gru/evaluate.py,"{""evaluation_sequences"": 64, ""gru_dynamics_parameter_count"": 21712, ""mean_rollout_seconds_per_sequence"": 6.979368437782796e-06, ""one_step_agent_position_accuracy"": 0.8359375, ""one_step_latent_mse"": 0.14136537909507751, ""one_step_pixel_mse"": 0.005980079527944326, ""rollout_agent_position_accuracy"": 0.55859375, ""rollout_mean_pixel_mse"": 0.008376324782148004, ""seed"": 7, ""simple_dynamics_parameter_count"": 6544}"
03_memory,03_memory/03_rssm,03_memory/03_rssm/outputs/evaluation_metrics.json,partial-observation-v1,unrecorded,python 03_memory/03_rssm/evaluate.py,"{""evaluation_sequences"": 32, ""one_step_prior_pixel_mse"": 0.0006179036572575569, ""one_step_prior_state_head_goal_class_accuracy"": 1.0, ""parameter_count"": 428330, ""posterior_reconstruction_mse"": 0.0007455364684574306, ""posterior_state_head_goal_class_accuracy"": 1.0, ""prior_rollout_mean_pixel_mse"": 0.000628432911374451, ""prior_rollout_mean_state_head_goal_class_accuracy"": 1.0}"
03_memory,03_memory/04_transformer_memory,03_memory/04_transformer_memory/outputs/evaluation_metrics.json,partial-observation-v1,unrecorded,python 03_memory/04_transformer_memory/evaluate.py,"{""autoencoder_reconstruction_mse"": 0.0014814455062150955, ""autoregressive_rollout_mean_pixel_mse"": 0.000964186812780099, ""autoregressive_rollout_mean_state_head_goal_class_accuracy"": 1.0, ""evaluation_sequences"": 32, ""parameter_count"": 406794, ""teacher_forced_one_step_pixel_mse"": 0.0009640959906391799, ""teacher_forced_state_head_goal_class_accuracy"": 1.0}"
04_uncertainty,04_uncertainty/01_probabilistic_dynamics,04_uncertainty/01_probabilistic_dynamics/outputs/evaluation_metrics.json,heteroscedastic-point-v1,unrecorded,python 04_uncertainty/01_probabilistic_dynamics/evaluate.py,"{""coverage_within_1_std"": 0.6953125, ""coverage_within_2_std"": 0.953125, ""evaluation_transitions"": 256, ""gaussian_nll"": -3.593069553375244, ""next_state_rmse"": 0.05685743689537048, ""parameter_count"": 4872, ""predicted_true_std_correlation"": 0.9376348713134565, ""rollout_horizon"": 12, ""rollout_samples"": 64}"
04_uncertainty,04_uncertainty/02_ensemble,04_uncertainty/02_ensemble/outputs/evaluation_metrics.json,heteroscedastic-point-v1,unrecorded,python 04_uncertainty/02_ensemble/evaluate.py,"{""aleatoric_predicted_true_std_correlation"": 0.952626280118526, ""coverage_within_1_total_std"": 0.732421875, ""coverage_within_2_total_std"": 0.966796875, ""ensemble_size"": 5, ""evaluation_transitions"": 256, ""in_distribution_epistemic_std"": 0.010660689324140549, ""mean_in_distribution_aleatoric_std"": 0.052202023565769196, ""moment_matched_gaussian_nll"": -3.5822978019714355, ""next_state_rmse"": 0.060513127595186234, ""ood_to_id_epistemic_ratio"": 1.5383201354995462, ""out_of_distribution_epistemic_std"": 0.016399553045630455, ""parameter_count"": 24360, ""rollout_horizon"": 12, ""rollout_particles_per_method"": 128}"
05_long_horizon,05_long_horizon/01_latent_overshooting,05_long_horizon/01_latent_overshooting/outputs/evaluation_metrics.json,controlled-oscillator-v1,unrecorded,python 05_long_horizon/01_latent_overshooting/evaluate.py,"{""autoregressive_rollout_mean_mse"": 0.45652457381729616, ""evaluation_sequences"": 64, ""overshooting_mean_mse"": 0.004347627516835928, ""parameter_count"": 4738, ""rollout_mse_horizon_10"": 0.06646271795034409, ""rollout_mse_horizon_30"": 1.4086941480636597, ""rollout_mse_horizon_5"": 0.0062287175096571445, ""teacher_forced_one_step_mse"": 0.00016053536091931164}"
05_long_horizon,05_long_horizon/02_temporal_abstraction,05_long_horizon/02_temporal_abstraction/outputs/evaluation_metrics.json,controlled-oscillator-v1-macro5,unrecorded,python 05_long_horizon/02_temporal_abstraction/evaluate.py,"{""chunk_size"": 5, ""evaluation_sequences"": 64, ""macro_rollout_mean_mse"": 0.49071616601819795, ""macro_rollout_mse_horizon_30"": 1.1856309175491333, ""macro_rollout_steps"": 6, ""parameter_count"": 10178, ""primitive_horizon"": 30, ""teacher_forced_macro_mse"": 0.016750963404774666}"
06_reward_value,06_reward_value/01_prediction_heads,06_reward_value/01_prediction_heads/outputs/evaluation_metrics.json,goal-navigation-v1,unrecorded,python 06_reward_value/01_prediction_heads/evaluate.py,"{""continuation_accuracy"": 0.9735915660858154, ""continuation_brier"": 0.03194151073694229, ""discount"": 0.95, ""evaluation_sequences"": 128, ""mean_continuation_probability_on_nonterminal"": 0.9501581192016602, ""mean_continuation_probability_on_terminal"": 0.18201114237308502, ""parameter_count"": 9091, ""reward_rmse"": 0.25150206685066223, ""terminal_transitions"": 128, ""valid_transitions"": 568, ""value_rmse"": 0.13537393510341644}"
07_planning,07_planning/01_random_shooting,07_planning/01_random_shooting/outputs/evaluation_metrics.json,exact-point-world-v1,67,python 07_planning/01_random_shooting/evaluate.py,"{""candidates"": 4096, ""discount"": 0.97, ""distance_reduction_fraction"": 0.4226897954940796, ""final_predicted_distance"": 1.3088527917861938, ""horizon"": 10, ""initial_distance"": 2.2671568393707275, ""mean_candidate_score"": -20.854949951171875, ""seed"": 67, ""selected_predicted_score"": -15.741778373718262}"
07_planning,07_planning/02_cem,07_planning/02_cem/outputs/evaluation_metrics.json,exact-point-world-v1,71,python 07_planning/02_cem/evaluate.py,"{""candidates"": 512, ""discount"": 0.97, ""distance_reduction_fraction"": 0.7323228716850281, ""elites"": 64, ""final_mean_action_std"": 0.27210259437561035, ""final_predicted_distance"": 0.6068660020828247, ""horizon"": 10, ""initial_distance"": 2.2671568393707275, ""iterations"": 5, ""momentum"": 0.1, ""seed"": 71, ""selected_predicted_score"": -11.865666389465332}"
